Model,Dataset,Configuration,Test Accuracy,Test F1
DistilBERT,ISOT,baseline,0.9973,0.9973
DistilBERT,ISOT,no_positional_encoding,0.996,0.996
DistilBERT,ISOT,no_attention,0.4767,0.3078
DistilBERT,ISOT,no_feedforward,0.9973,0.9973
DistilBERT,ISOT,no_residual_connections,0.9973,0.9973
DistilBERT,ISOT,no_layer_normalization,0.9973,0.9973
DistilBERT,ISOT,no_dropout,0.9973,0.9973
DistilBERT,LIAR,baseline,0.5965,0.5956
DistilBERT,LIAR,no_positional_encoding,0.5699,0.5696
DistilBERT,LIAR,no_attention,0.4767,0.3078
DistilBERT,LIAR,no_feedforward,0.5513,0.5403
DistilBERT,LIAR,no_residual_connections,0.5712,0.571
DistilBERT,LIAR,no_layer_normalization,0.5766,0.5739
DistilBERT,LIAR,no_dropout,0.5539,0.5538
