Model,Dataset,Configuration,Test Accuracy,Test F1
RoBERTa,ISOT,baseline,0.9973,0.9973
RoBERTa,ISOT,no_positional_encoding,0.996,0.996
RoBERTa,ISOT,no_attention,0.4767,0.3078
RoBERTa,ISOT,no_feedforward,0.9973,0.9973
RoBERTa,ISOT,no_residual_connections,0.9973,0.9973
RoBERTa,ISOT,no_layer_normalization,0.9973,0.9973
RoBERTa,ISOT,no_dropout,0.9973,0.9973
RoBERTa,LIAR,baseline,0.5965,0.5956
RoBERTa,LIAR,no_positional_encoding,0.5699,0.5696
RoBERTa,LIAR,no_attention,0.4767,0.3078
RoBERTa,LIAR,no_feedforward,0.5513,0.5403
RoBERTa,LIAR,no_residual_connections,0.5712,0.571
RoBERTa,LIAR,no_layer_normalization,0.5766,0.5739
RoBERTa,LIAR,no_dropout,0.5539,0.5538
